NCBI Accession,Genome Name
NC_086519.1,"Potomida acarnanica voucher MHNC-UP BIV1121 mitochondrion, complete genome"
NC_086518.1,"Potomida semirugata voucher KC_MAEU BIV2101 mitochondrion, complete genome"
NC_086514.1,"Pentidionis agamae isolate Pa1_CH13 mitochondrion, complete genome"
NC_086513.1,"Semirhynchia dumbrodiana voucher SSPAO mitochondrion, complete genome"
NC_086512.1,"Barbibucca biremis voucher BBSO mitochondrion, complete genome"
NC_086509.1,"Nemoptera coa voucher NCGR1 mitochondrion, complete genome"
NC_086508.1,"Nemopistha sinica voucher NSYN mitochondrion, complete genome"
NC_086507.1,"Etheostoma microperca mitochondrion, complete genome"
NC_086506.1,"Noturus albater mitochondrion, complete genome"
NC_086491.1,"Satsuma myomphala mitochondrion, complete genome"
NC_086490.1,"Ochotona rufescens voucher FMNH102840 mitochondrion, complete genome"
NC_086475.1,"Microphysogobio zhangi mitochondrion, complete genome"
NC_086474.1,"Microphysogobio bicolor mitochondrion, complete genome"
NC_086473.1,"Microphysogobio luhensis mitochondrion, complete genome"
NC_086472.1,"Microphysogobio pseudoelongatus mitochondrion, complete genome"
NC_086471.1,"Microphysogobio labeoides mitochondrion, complete genome"
NC_086470.1,"Microphysogobio kachekensis mitochondrion, complete genome"
NC_086469.1,"Microphysogobio vietnamica mitochondrion, complete genome"
NC_086468.1,"Microphysogobio linghensis mitochondrion, complete genome"
NC_086467.1,"Microphysogobio microstomus mitochondrion, complete genome"
NC_086466.1,"Microphysogobio xianyouensis mitochondrion, complete genome"
NC_086465.1,"Microphysogobio hsinglungshanensis mitochondrion, complete genome"
NC_086464.1,"Microphysogobio wulonghensis mitochondrion, complete genome"
NC_086463.1,"Microphysogobio nudiventris mitochondrion, complete genome"
NC_086462.1,"Microphysogobio anudarini mitochondrion, complete genome"
NC_086461.1,"Microphysogobio oujiangensis mitochondrion, complete genome"
NC_086460.1,"Microphysogobio nikolskii mitochondrion, complete genome"
NC_086459.1,"Biwia yodoensis mitochondrion, complete genome"
NC_086458.1,"Nectoneanthes oxypoda voucher SIO:BIC:A13109 mitochondrion, complete genome"
NC_086457.1,"Nereis pelagica voucher SIO:BIC:A6054 mitochondrion, complete genome"
NC_086456.1,"Pentapodus setosus mitochondrion, complete genome"
NC_085840.1,"Macropsidius duuschulus mitochondrion, complete genome"
NC_085839.1,"Eupelix cuspidata mitochondrion, complete genome"
NC_085838.1,"Conlopa bredoni mitochondrion, complete genome"
NC_085837.1,"Arrugada affinis mitochondrion, complete genome"
NC_085836.1,"Xestocephalus cognatus mitochondrion, complete genome"
NC_085835.1,"Xestocephalus limpidissimus mitochondrion, complete genome"
NC_085834.1,"Xestocephalus iguchii mitochondrion, complete genome"
NC_085833.1,"Xestocephalus gracilus mitochondrion, complete genome"
NC_085832.1,"Xestocephalus biprocessus mitochondrion, complete genome"
NC_085831.1,"Stroggylocephalus agrestis mitochondrion, complete genome"
NC_085830.1,"Planaphrodes sahlbergii mitochondrion, complete genome"
NC_085829.1,"Xestocephalus ishidae mitochondrion, complete genome"
NC_085828.1,"Planaphrodes nigricans mitochondrion, complete genome"
NC_085827.1,"Aphrodes bicincta mitochondrion, complete genome"
NC_085825.1,"Corvomeyenia everetti voucher LSSU HMC352-2 mitochondrion, complete genome"
NC_085824.1,"Longpotamon loudiense mitochondrion, complete genome"
NC_085822.1,"Jogocerus viraktamathi voucher GZCI28 mitochondrion, complete genome"
NC_085813.1,"Penicillidia jenynsii mitochondrion, complete genome"
NC_085812.1,"Plaxiphora tricolor mitochondrion, complete genome"
NC_085811.1,"Halicephalobus mephisto strain JRB1 mitochondrion, complete genome"
NC_085795.1,"Petrovinema skrjabini mitochondrion, complete genome"
NC_085790.1,"Entricoplax vestita mitochondrion, complete genome"
NC_085787.1,"Slavum lentiscoides strain Pisver voucher IOZCAS 44797 mitochondrion, complete genome"
NC_085785.1,"Thryssa mystax mitochondrion, complete genome"
NC_085773.1,"Pardosa pseudoannulata mitochondrion, complete genome"
NC_085772.1,"Coccus hesperidum mitochondrion, complete genome"
NC_085760.1,"Carinata recurvata mitochondrion, complete genome"
NC_085756.1,"Melanotaenia fasinensis mitochondrion, complete genome"
NC_085751.1,"Eocanthecona concinna mitochondrion, complete genome"
NC_085750.1,"Scartella cristata voucher BPS1653 mitochondrion, complete genome"
NC_085748.1,"Epidaus famulus mitochondrion, complete genome"
NC_085746.1,"Lepidopygopsis typus isolate LePeVa2 mitochondrion, complete genome"
NC_085745.1,"Delia platura mitochondrion, complete genome"
NC_085738.1,"Abudefduf saxatilis voucher BPS2618 mitochondrion, complete genome"
NC_085737.1,"Abudefduf hoefleri voucher BPS2556 mitochondrion, complete genome"
NC_085678.1,"Arctolamia fruhstorferi mitochondrion, complete genome"
NC_085677.1,"Stephanitis pyrioides mitochondrion, complete genome"
NC_085676.1,"Euchorthippus cheui mitochondrion, complete genome"
NC_085675.1,"Metrocoris bilobatoides mitochondrion, complete genome"
NC_085674.1,"Ventidius pulai mitochondrion, complete genome"
NC_085630.1,"Xyloplax princealberti voucher SIO:BIC:E11453 mitochondrion, complete genome"
NC_085621.1,"Forficulitermes planifrons voucher Cam19_1_PG_120 mitochondrion, complete genome"
NC_085620.1,"Engelitermes zambo voucher Cam19_1_PG_018 mitochondrion, complete genome"
NC_085619.1,"Argas vulgaris mitochondrion, complete genome"
NC_085614.1,"Paraschizogynium plumachela mitochondrion, complete genome"
NC_085606.1,"Minois paupera mitochondrion, complete genome"
NC_085605.1,"Gastrolina depressa mitochondrion, complete genome"
NC_085601.1,"Squalidus banarescui mitochondrion, complete genome"
NC_085599.1,"Anaxarcha graminea mitochondrion, complete genome"
NC_085569.1,"Parachordodes pustulosus mitochondrion, complete genome"
NC_085566.1,"Bhatia longiradiata mitochondrion, complete genome"
NC_085565.1,"Eucosmetus incisus mitochondrion, complete genome"
NC_085563.1,"Lingula reevii mitochondrion, complete genome"
NC_085562.1,"Acromantis japonica mitochondrion, complete genome"
NC_085561.1,"Amritodus flavoscutatus voucher GZCI99 mitochondrion, complete genome"
NC_085560.1,"Anidiocerus bimaculatus voucher GZCI23 mitochondrion, complete genome"
NC_085546.1,"Himaloaesalus gaoligongshanus mitochondrion, complete genome"
NC_085532.1,"Locastra muscosalis mitochondrion, complete genome"
NC_085531.1,"Teliphasa nubilosa mitochondrion, complete genome"
NC_085530.1,"Orthaga aenescens mitochondrion, complete genome"
NC_085529.1,"Orthaga disparoidalis mitochondrion, complete genome"
NC_085528.1,"Saldoida armata voucher HEM337 mitochondrion, complete genome"
NC_085524.1,"Aegus fukiensis mitochondrion, complete genome"
NC_085503.1,"Silesis erberi mitochondrion, complete genome"
NC_085502.1,"Stegophiura sladeni mitochondrion, complete genome"
NC_085501.1,"Melanotus fiumii mitochondrion, complete genome"
NC_085500.1,"Athousius wudanganus mitochondrion, complete genome"
NC_085494.1,"Grammomys macmillani isolate UGA_148 mitochondrion, complete genome"
NC_085493.1,"Caliscelis rhabdocladis mitochondrion, complete genome"
NC_085492.1,"Thabena yunnanensis mitochondrion, complete genome"
NC_085491.1,"Gergithus yunnanensis mitochondrion, complete genome"
NC_085490.1,"Epyhemisphaerius bistriatus mitochondrion, complete genome"
NC_085489.1,"Gergithus frontilongus mitochondrion, complete genome"
NC_085488.1,"Gergithoides gibbosus mitochondrion, complete genome"
NC_085487.1,"Eusudasina nantouensis mitochondrion, complete genome"
NC_085486.1,"Membranipora villosa mitochondrion, complete genome"
NC_085485.1,"Fulgoraria chinoi mitochondrion, complete genome"
NC_085484.1,"Ixodes crenulatus mitochondrion, complete genome"
NC_085482.1,"Melanodrymia galeronae mitochondrion, complete genome"
NC_085479.1,"Scopimera longidactyla voucher GMFRI-C0008 mitochondrion, complete genome"
NC_085473.1,"Colias sifanica mitochondrion, complete genome"
NC_085472.1,"Unio vicarius isolate CIIMAR_BIV1288 mitochondrion, complete genome"
NC_085471.1,"Unio tumidiformis isolate CIIMAR_UD343 mitochondrion, complete genome"
NC_085470.1,"Unio terminalis isolate CIIMAR_BIV0033 mitochondrion, complete genome"
NC_085469.1,"Unio mardinensis isolate CIIMAR_BIV1892 mitochondrion, complete genome"
NC_085468.1,"Unio ionicus isolate CIIMAR_BIV1097 mitochondrion, complete genome"
NC_085467.1,"Unio gontierii isolate CIIMAR_BIV1534 mitochondrion, complete genome"
NC_085466.1,"Unio gibbus isolate CIIMAR_UG11 mitochondrion, complete genome"
NC_085465.1,"Unio bruguierianus isolate CIIMAR_BIV1350 mitochondrion, complete genome"
NC_085464.1,"Unio carneus isolate CIIMAR_BIV6434 mitochondrion, complete genome"
NC_085462.1,"Arthurdendyus triangulatus mitochondrion, complete genome"
NC_085461.1,"Culex hutchinsoni mitochondrion, complete genome"
NC_085460.1,"Cylicocyclus ultrajectinus mitochondrion, complete genome"
NC_085459.1,"Coronocyclus coronatus mitochondrion, complete genome"
NC_085457.1,"Bittacus lii mitochondrion, complete genome"
NC_085456.1,"Microphysogobio elongatus mitochondrion, complete genome"
NC_085425.1,"Mus spicilegus strain ZBP isolate SX1162 mitochondrion, complete genome"
NC_085424.1,"Mus macedonicus strain MACSO isolate SX3555 mitochondrion, complete genome"
NC_085422.1,"Epilepia longaduncata mitochondrion, complete genome"
NC_085421.1,"Epilepia dentata mitochondrion, complete genome"
NC_085420.1,"Cymoninus sechellensis voucher HEM302 mitochondrion, complete genome"
NC_085415.1,"Menippe rumphii mitochondrion, complete genome"
NC_085414.1,"Lepidodesma aligera mitochondrion, complete genome"
NC_085413.1,"Metrocoris communis voucher ZSM_HET_1108 mitochondrion, complete genome"
NC_085412.1,"Halobates matsumurai voucher JD2632 mitochondrion, complete genome"
NC_085411.1,"Halobates zephyrus voucher JD2429 mitochondrion, complete genome"
NC_085410.1,"Halobates katherinae voucher JD2277 mitochondrion, complete genome"
NC_085409.1,"Halobates whiteleggei voucher JD0179 mitochondrion, complete genome"
NC_085408.1,"Halobates bryani voucher JD0178 mitochondrion, complete genome"
NC_085407.1,"Halobates sexualis voucher JD0177 mitochondrion, complete genome"
NC_085406.1,"Halobates robustus voucher JD0099 mitochondrion, complete genome"
NC_085405.1,"Halobates alluaudi voucher JD0079 mitochondrion, complete genome"
NC_085404.1,"Halobates poseidon voucher JD0078 mitochondrion, complete genome"
NC_085403.1,"Halobates mariannarum voucher JD0053 mitochondrion, complete genome"
NC_085402.1,"Halovelia lannae voucher HAL536 mitochondrion, complete genome"
NC_085401.1,"Xenobates singaporensis voucher HAL511 mitochondrion, complete genome"
NC_085400.1,"Haloveloides sundaensis voucher HAL416 mitochondrion, complete genome"
NC_085399.1,"Ventidius harrisoni voucher GER1404 mitochondrion, complete genome"
NC_085398.1,"Halovelia heron voucher GER1393 mitochondrion, complete genome"
NC_085397.1,"Ventidius hungerfordi voucher GER1357 mitochondrion, complete genome"
NC_085396.1,"Halobates flaviventris voucher GER1347 mitochondrion, complete genome"
NC_085395.1,"Asclepios annandalei voucher GER1338 mitochondrion, complete genome"
NC_085394.1,"Xenobates argentatus voucher GER1239 mitochondrion, complete genome"
NC_085393.1,"Halovelia malaya voucher GER1126 mitochondrion, complete genome"
NC_085392.1,"Metrocoris tenuicornis voucher GER1112 mitochondrion, complete genome"
NC_085391.1,"Metrocoris stranguloides voucher GER1091 mitochondrion, complete genome"
NC_085390.1,"Metrocoris inthanon voucher GER1088 mitochondrion, complete genome"
NC_085389.1,"Metrocoris nigrofasciatus voucher GER1084 mitochondrion, complete genome"
NC_085388.1,"Metrocoris triangulatus voucher GER1080 mitochondrion, complete genome"
NC_085387.1,"Metrocoris acutus voucher GER1074 mitochondrion, complete genome"
NC_085386.1,"Metrocoris tigrinus voucher GER1071 mitochondrion, complete genome"
NC_085385.1,"Metrocoris quynhi voucher GER1068 mitochondrion, complete genome"
NC_085384.1,"Metrocoris vietnamensis voucher GER1065 mitochondrion, complete genome"
NC_085383.1,"Metrocoris ciliatus voucher GER1062 mitochondrion, complete genome"
NC_085382.1,"Ventidius malayensis voucher GER1059 mitochondrion, complete genome"
NC_085381.1,"Ventidius longitarsus voucher GER1045 mitochondrion, complete genome"
NC_085380.1,"Ventidius distanti voucher GER1040 mitochondrion, complete genome"
NC_085379.1,"Esakia hungerfordi voucher GER1038 mitochondrion, complete genome"
NC_085378.1,"Halobates nereis voucher GER1019 mitochondrion, complete genome"
NC_085377.1,"Halobates sobrinus voucher GER1015 mitochondrion, complete genome"
NC_085376.1,"Halobates hawaiiensis voucher GER1012 mitochondrion, complete genome"
NC_085375.1,"Asclepios apicalis voucher GER987 mitochondrion, complete genome"
NC_085374.1,"Halobates micans voucher GER969 mitochondrion, complete genome"
NC_085373.1,"Halobates melleus voucher GER936 mitochondrion, complete genome"
NC_085372.1,"Hermatobates djiboutensis voucher GER933 mitochondrion, complete genome"
NC_085371.1,"Halobates splendens voucher GER793 mitochondrion, complete genome"
NC_085370.1,"Halobates sericeus voucher GER761 mitochondrion, complete genome"
NC_085369.1,"Halobates germanus voucher GER759 mitochondrion, complete genome"
NC_085363.1,"Vernaya fulva isolate tissue voucher SAF201518 mitochondrion, complete genome"
NC_085362.1,"Hygia opaca mitochondrion, complete genome"
NC_085361.1,"Hygia bidentata mitochondrion, complete genome"
NC_085360.1,"Hygia lativentris mitochondrion, complete genome"
NC_085354.1,"Phlebotomus sichuanensis voucher GSW1 mitochondrion, complete genome"
NC_085349.1,"Charybdis miles mitochondrion, complete genome"
NC_085348.1,"Oligobrachia dogieli mitochondrion, complete genome"
NC_085346.1,"Uroobovella oviformis mitochondrion, complete genome"
NC_085345.1,"Oenopia formosana mitochondrion, complete genome"
NC_085344.1,"Pelodiscus axenaria mitochondrion, complete genome"
NC_085340.1,"Dactylogyrus tuba mitochondrion, complete genome"
NC_085321.1,"Gobiobotia tungi mitochondrion, complete genome"
NC_085320.1,"Gobiobotia paucirastella mitochondrion, complete genome"
NC_085319.1,"Gobiobotia longibarba mitochondrion, complete genome"
NC_085318.1,"Gobiobotia jiangxiensis mitochondrion, complete genome"
NC_085317.1,"Gobiobotia kolleri mitochondrion, complete genome"
NC_085316.1,"Gobiobotia homalopteroidea mitochondrion, complete genome"
NC_085315.1,"Gobiobotia guilingensis mitochondrion, complete genome"
NC_085314.1,"Gobiobotia brevirostris mitochondrion, complete genome"
NC_085313.1,"Argusianus argus mitochondrion, complete genome"
NC_085290.1,"Leptomastidea bifasciata mitochondrion, complete genome"
NC_085289.1,"Anagyrus jenniferae mitochondrion, complete genome"
NC_085287.1,"Podonevadne trigona mitochondrion, complete genome"
NC_085286.1,"Perinereis wilsoni mitochondrion, complete genome"
NC_085285.1,"Yunleon longicorpus mitochondrion, complete genome"
NC_085284.1,"Dercas nina isolate DN2020.1 mitochondrion, complete genome"
NC_085282.1,"Pyrocoelia pectoralis mitochondrion, complete genome"
NC_085277.1,"Ctenophthalmus yunnanus mitochondrion, complete genome"
NC_085276.1,"Frontopsylla diqingensis isolate Yunnan mitochondrion, complete genome"
NC_085275.1,"Haemaphysalis taiwana mitochondrion, complete genome"
NC_085274.1,"Macrostylophora euteles isolate Yunnan mitochondrion, complete genome"
NC_085273.1,"Lepidotrigla kishinouyi mitochondrion, complete genome"
NC_085272.1,"Elthusa poutassouiensis mitochondrion, complete genome"
NC_085271.1,"Metathelazia capsulata mitochondrion, complete genome"
NC_085267.1,"Dactylogyrus simplex mitochondrion, complete genome"
NC_085266.1,"Eurytoma acutibialis mitochondrion, complete genome"
NC_085265.1,"Leopardus guttulus isolate bLgt-652 voucher FURB18963 mitochondrion, complete genome"
NC_085263.1,"Phymateus saxosus mitochondrion, complete genome"
NC_085260.1,"Neocentropogon trimaculatus mitochondrion, complete genome"
NC_085258.1,"Sargocentron punctatissimum mitochondrion, complete genome"
NC_085257.1,"Sargocentron melanospilos mitochondrion, complete genome"
NC_085256.1,"Sargocentron diadema mitochondrion, complete genome"
NC_085255.1,"Neoniphon opercularis mitochondrion, complete genome"
NC_085254.1,"Myripristis violacea mitochondrion, complete genome"
NC_085253.1,"Myripristis murdjan mitochondrion, complete genome"
NC_085252.1,"Myripristis kuntee mitochondrion, complete genome"
NC_085250.1,"Microphysogobio chinssuensis mitochondrion, complete genome"
NC_085244.1,"Rhipicephalus bursa mitochondrion, complete genome"
NC_085242.1,"Optediceros sp. mitochondrion, complete genome"
NC_085241.1,"Leucoptera coffeella mitochondrion, complete genome"
NC_085238.1,"Trichopoda pennipes isolate 1_LP3 mitochondrion, complete genome"
